MONTH,Close,MOMENTUM_PERCENT_CHANGE,SWITCH_DYNAMIC,SWITCH_DYNAMIC_OPTIMISTIC,SWITCH_DYNAMIC_PESSIMISTIC,AMOUNT_SWITCH_DYNAMIC_OPTIMISTIC,AMOUNT_SWITCH_DYNAMIC,AMOUNT_SWITCH_DYNAMIC_PESSIMISTIC
Dec-19,13685.95,6.52,CASH,MOMENTUM,MOMENTUM,22308.95,13027.25,22449.525510939904
Jan-20,13995.19,6.33,CASH,MOMENTUM,MOMENTUM,22813.03,13027.25,22956.782315838584
Feb-20,13598.81,1.96,CASH,MOMENTUM,MOMENTUM,22166.91,13027.25,22306.58682907834
Mar-20,11002.27,-19.61,CASH,CASH,CASH,22166.91,13027.25,22306.58682907834
Apr-20,12533.46,-10.44,CASH,CASH,CASH,22166.91,13027.25,22306.58682907834
May-20,12141.83,-10.71,CASH,CASH,CASH,22166.91,13027.25,22306.58682907834
Jun-20,12952.24,17.72,MOMENTUM,MOMENTUM,MOMENTUM,23646.44,13896.76,23795.44650115029
Jul-20,13804.99,10.15,MOMENTUM,MOMENTUM,MOMENTUM,25203.28,14811.69,25362.09188479481
Aug-20,13915.67,14.61,MOMENTUM,MOMENTUM,MOMENTUM,25405.34,14930.44,25565.42968727124
Sep-20,14434.81,11.45,MOMENTUM,MOMENTUM,MOMENTUM,26353.12,15487.44,26519.177309042236
Oct-20,14363.76,4.05,MOMENTUM,MOMENTUM,MOMENTUM,26223.41,15411.21,26388.646491677307
Nov-20,15183.24,9.11,MOMENTUM,MOMENTUM,MOMENTUM,27719.5,16290.45,27894.16928146214
Dec-20,16301.35,12.93,MOMENTUM,MOMENTUM,MOMENTUM,29760.8,17490.09,29948.32568123555
Jan-21,15795.44,9.97,MOMENTUM,MOMENTUM,MOMENTUM,28837.17,16947.29,29018.883797870436
Feb-21,17052.89,12.31,MOMENTUM,MOMENTUM,MOMENTUM,31132.86,18296.44,31329.031247490842
Mar-21,17866.29,9.6,MOMENTUM,MOMENTUM,MOMENTUM,32617.85,19169.15,32823.384053185895
Apr-21,19578.57,23.95,MOMENTUM,MOMENTUM,MOMENTUM,35743.9,21006.3,35969.13082246979
May-21,20513.33,20.29,MOMENTUM,MOMENTUM,MOMENTUM,37450.46,22009.22,37686.44238953583
Jun-21,21420.53,19.89,MOMENTUM,MOMENTUM,MOMENTUM,39106.7,22982.58,39353.12159451068
Jul-21,22529.41,15.07,MOMENTUM,MOMENTUM,MOMENTUM,41131.14,24172.32,41390.320929621485
Aug-21,23369.67,13.92,MOMENTUM,MOMENTUM,MOMENTUM,42665.18,25073.86,42934.020079502625
Sep-21,23830.3,11.25,MOMENTUM,MOMENTUM,MOMENTUM,43506.13,25568.08,43780.27497609387
Oct-21,24574.67,9.08,MOMENTUM,MOMENTUM,MOMENTUM,44865.1,26366.73,45147.808044664336
Nov-21,24047.75,2.9,MOMENTUM,MOMENTUM,MOMENTUM,43903.12,25801.38,44179.76725246267
Dec-21,24845.49,4.26,MOMENTUM,MOMENTUM,MOMENTUM,45359.53,26657.3,45645.350000452796
Jan-22,24050.14,-2.13,CASH,CASH,CASH,45359.53,26657.3,45645.350000452796
Feb-22,23381.0,-2.77,CASH,CASH,CASH,45359.53,26657.3,45645.350000452796
Mar-22,24607.66,-0.96,CASH,CASH,CASH,45359.53,26657.3,45645.350000452796
Apr-22,23560.41,-2.04,CASH,CASH,CASH,45359.53,26657.3,45645.350000452796
May-22,21806.76,-6.73,CASH,CASH,CASH,45359.53,26657.3,45645.350000452796
Jun-22,19871.86,-19.25,CASH,CASH,CASH,45359.53,26657.3,45645.350000452796
Jul-22,21768.75,-7.6,CASH,CASH,CASH,45359.53,26657.3,45645.350000452796
Aug-22,23684.74,8.61,CASH,MOMENTUM,MOMENTUM,49351.88,26657.3,49662.85372241054
Sep-22,19130.55,-3.73,CASH,CASH,CASH,49351.88,26657.3,49662.85372241054
Oct-22,20019.85,-8.03,CASH,CASH,CASH,49351.88,26657.3,49662.85372241054
